epoch,train_loss,val_loss,val_f1,val_balanced_accuracy,learning_rate
1,0.6136808395385742,1.3456915616989136,0.0,0.5,0.002999918576507786
2,0.5091629028320312,1.7055093050003052,0.0,0.5,0.002999674314960146
3,0.3350795805454254,1.7426129579544067,0.0,0.5,0.002999267242143112
4,0.30114758014678955,1.767599105834961,0.0,0.5,0.002998697402696805
5,0.2530890703201294,1.8196284770965576,0.0,0.5,0.0029979648591105424
6,0.17819638550281525,1.817043423652649,0.0,0.5,0.0029970696917159837
7,0.1448971927165985,1.7111235857009888,0.0,0.5,0.0029960119986783204
8,0.12960398197174072,1.5109834671020508,0.0,0.5,0.002994791895985514
9,0.10969612002372742,1.2598819732666016,0.0,0.5,0.002993409517435574
10,0.08672740310430527,1.0095726251602173,0.17391304347826084,0.5476190476190477,0.002991865014621886
11,0.06794991344213486,0.8001596927642822,0.42857142857142855,0.6201298701298701,0.002990158556916589
12,0.056136615574359894,0.6487269997596741,0.6249999999999999,0.7153679653679654,0.002988290331452
13,0.049901921302080154,0.552129328250885,0.6470588235294118,0.7164502164502164,0.002986260543100094
14,0.04642898961901665,0.49702179431915283,0.7027027027027026,0.7413419913419914,0.0029840694144500383
15,0.043313246220350266,0.46853017807006836,0.7804878048780488,0.7900432900432901,0.0029817171857837803
16,0.03946426510810852,0.4550020098686218,0.7804878048780488,0.7900432900432901,0.0029792041150497007
17,0.03504759445786476,0.449148565530777,0.7804878048780488,0.7900432900432901,0.002976530477834325
18,0.030754998326301575,0.4471563398838043,0.7804878048780488,0.7900432900432901,0.0029736965673321037
19,0.027135787531733513,0.44732922315597534,0.7804878048780488,0.7900432900432901,0.002970702694313258
20,0.02437591552734375,0.44902846217155457,0.7804878048780488,0.7900432900432901,0.002967549187089702
21,0.022384431213140488,0.4520440697669983,0.7804878048780488,0.7900432900432901,0.0029642363914790405
22,0.020945193246006966,0.45628347992897034,0.7804878048780488,0.7900432900432901,0.0029607646707666435
23,0.019826598465442657,0.46164339780807495,0.7804878048780488,0.7900432900432901,0.00295713440566581
24,0.018840769305825233,0.4679747223854065,0.7804878048780488,0.7900432900432901,0.002953345994276018
25,0.017867611721158028,0.47509127855300903,0.8,0.8127705627705628,0.002949399852039267
26,0.01685570925474167,0.48279643058776855,0.8,0.8127705627705628,0.002945296411694523
27,0.015807705000042915,0.49091091752052307,0.8,0.8127705627705628,0.0029410361232302612
28,0.014758340083062649,0.4992949068546295,0.8,0.8127705627705628,0.0029366194538351206
29,0.013752586208283901,0.5078586339950562,0.8,0.8127705627705628,0.002932046887846672
30,0.01282966136932373,0.5165629982948303,0.8,0.8127705627705628,0.002927318926698304
31,0.012014656327664852,0.5254130959510803,0.8,0.8127705627705628,0.0029224360888642355
32,0.011316753923892975,0.5344475507736206,0.8,0.8127705627705628,0.00291739890980266
33,0.010731649585068226,0.5437277555465698,0.8,0.8127705627705628,0.0029122079418970256
34,0.01024575624614954,0.5533263683319092,0.8205128205128205,0.8354978354978355,0.0029068637543954597
35,0.00984045397490263,0.5633181929588318,0.8205128205128205,0.8354978354978355,0.002901366933348345
36,0.00949585996568203,0.5737716555595398,0.7894736842105262,0.8116883116883117,0.002895718081544054
37,0.009193520992994308,0.584741473197937,0.7894736842105262,0.8116883116883117,0.002889917818442843
38,0.008918222039937973,0.5962626934051514,0.7894736842105262,0.8116883116883117,0.002883966780108924
39,0.008658875711262226,0.6083460450172424,0.7777777777777778,0.8106060606060606,0.0028778656191407125
