epoch,val_loss,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_balanced_accuracy,val_tp,val_tn,val_fp,val_fn
0,0.1863747239112854,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
1,0.18144407868385315,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
2,0.17662358283996582,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
3,0.17203417420387268,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
4,0.16766870021820068,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
5,0.1635226011276245,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
6,0.15960575640201569,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
7,0.15592506527900696,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
8,0.15247085690498352,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
9,0.14922550320625305,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
10,0.1461750715970993,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
11,0.14330840110778809,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
12,0.1406160295009613,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
13,0.13808956742286682,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
14,0.13572147488594055,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
15,0.13350486755371094,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
16,0.13143335282802582,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
17,0.12950091063976288,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
18,0.12770196795463562,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
19,0.12603121995925903,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
20,0.12448354810476303,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
21,0.12305419147014618,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
22,0.12173857539892197,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
23,0.12053232640028,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
24,0.11943133175373077,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
25,0.11843150854110718,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
26,0.11752903461456299,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
27,0.11672013252973557,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
28,0.11600111424922943,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
29,0.11536834388971329,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
30,0.11481820046901703,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
31,0.11434702575206757,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
32,0.11395120620727539,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
33,0.11362701654434204,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
34,0.11337077617645264,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
35,0.11317871510982513,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
36,0.1130470484495163,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
37,0.11297197639942169,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
38,0.11294974386692047,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
39,0.1129765659570694,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
40,0.1130487248301506,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
41,0.1131625771522522,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
42,0.11331454664468765,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
43,0.1135011687874794,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
44,0.11371908336877823,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
45,0.11396509408950806,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
46,0.11423610150814056,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
47,0.11452914774417877,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
48,0.1148415058851242,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
49,0.11517052352428436,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
50,0.11551377922296524,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
51,0.11586891859769821,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
52,0.11623386293649673,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
53,0.11660661548376083,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
54,0.11698537319898605,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
55,0.1173684298992157,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
56,0.11775429546833038,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
57,0.11814158409833908,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
58,0.1185290589928627,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
59,0.11891557276248932,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
60,0.11930017173290253,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
61,0.1196819618344307,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
62,0.12006022036075592,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
63,0.1204342395067215,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
64,0.12080346792936325,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
65,0.12116746604442596,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
66,0.1215258315205574,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
67,0.12187826633453369,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
68,0.12222455441951752,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
69,0.12256452441215515,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
70,0.12289807200431824,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
71,0.12322516739368439,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
72,0.12354579567909241,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
73,0.12386001646518707,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
74,0.12416790425777435,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
75,0.12446960806846619,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
76,0.12476524710655212,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
77,0.12505501508712769,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
78,0.12533913552761078,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
79,0.12561777234077454,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
80,0.12589119374752045,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
81,0.12615966796875,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
82,0.12642338871955872,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
83,0.12668266892433167,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
84,0.12693777680397034,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
85,0.12718892097473145,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
86,0.12743636965751648,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
87,0.1276804357767105,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
88,0.12792132794857025,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
89,0.12815925478935242,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
90,0.12839454412460327,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
91,0.12862735986709595,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
92,0.12885794043540955,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
93,0.129086434841156,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
94,0.1293131411075592,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
95,0.1295381784439087,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
96,0.1297616958618164,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
97,0.1299838423728943,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
98,0.13020482659339905,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
99,0.13042467832565308,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
100,0.13064360618591309,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
101,0.13086165487766266,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
102,0.13107889890670776,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
103,0.13129547238349915,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
104,0.13151142001152039,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
105,0.13172674179077148,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
106,0.13194158673286438,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
107,0.1321558654308319,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
108,0.13236969709396362,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
109,0.13258308172225952,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
110,0.1327960193157196,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
111,0.13300850987434387,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
112,0.13322055339813232,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
113,0.13343213498592377,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
114,0.1336432695388794,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
115,0.13385389745235443,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
116,0.13406401872634888,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
117,0.13427360355854034,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
118,0.13448265194892883,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
119,0.13469111919403076,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
120,0.13489896059036255,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
121,0.1351061314344406,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
122,0.13531264662742615,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
123,0.13551843166351318,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
124,0.13572347164154053,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
125,0.1359277069568634,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
126,0.1361311376094818,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
127,0.13633370399475098,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
128,0.1365353763103485,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
129,0.13673613965511322,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
130,0.13693593442440033,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
131,0.13713476061820984,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
132,0.13733254373073578,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
133,0.13752928376197815,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
134,0.13772498071193695,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
135,0.13791953027248383,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
136,0.13811299204826355,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
137,0.13830527663230896,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
138,0.13849639892578125,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
139,0.13868631422519684,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
140,0.13887499272823334,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
141,0.13906243443489075,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
142,0.13924863934516907,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
143,0.13943353295326233,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
144,0.13961711525917053,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
145,0.13979938626289368,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
146,0.13998036086559296,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
147,0.1401599645614624,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
148,0.1403382122516632,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
149,0.1405150592327118,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
150,0.14069053530693054,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
151,0.14086461067199707,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
152,0.141037255525589,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
153,0.1412084698677063,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
154,0.1413782835006714,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
155,0.14154662191867828,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
156,0.14171350002288818,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
157,0.14187894761562347,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
158,0.14204291999340057,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
159,0.14220541715621948,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
160,0.1423664093017578,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
161,0.14252592623233795,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
162,0.14268392324447632,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
163,0.1428404450416565,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
164,0.1429954469203949,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
165,0.14314889907836914,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
166,0.1433008760213852,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
167,0.14345130324363708,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
168,0.1436002254486084,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
169,0.14374756813049316,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
170,0.14389340579509735,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
171,0.14403769373893738,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
172,0.14418041706085205,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
173,0.14432159066200256,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
174,0.1444612294435501,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
175,0.1445993036031723,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
176,0.14473581314086914,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
177,0.14487075805664062,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
178,0.14500415325164795,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
179,0.14513596892356873,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
180,0.14526620507240295,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
181,0.14539489150047302,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
182,0.14552201330661774,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
183,0.14564752578735352,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
184,0.14577150344848633,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
185,0.1458939015865326,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
186,0.14601469039916992,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
187,0.1461339294910431,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
188,0.14625157415866852,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
189,0.14636766910552979,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
190,0.1464821696281433,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
191,0.1465950906276703,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
192,0.1467064470052719,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
193,0.146816223859787,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
194,0.14692442119121552,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
195,0.14703106880187988,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
196,0.1471361219882965,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
197,0.14723961055278778,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
198,0.1473415493965149,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
199,0.14744189381599426,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
200,0.14754067361354828,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
201,0.14763790369033813,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
202,0.14773359894752502,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
203,0.14782774448394775,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
204,0.14792032539844513,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
205,0.14801134169101715,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
206,0.1481008231639862,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
207,0.14818879961967468,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
208,0.1482751965522766,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
209,0.14836010336875916,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
210,0.14844349026679993,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
211,0.14852532744407654,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
212,0.14860564470291138,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
213,0.14868450164794922,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
214,0.1487618386745453,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
215,0.14883765578269958,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
216,0.14891204237937927,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
217,0.1489849090576172,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
218,0.1490563154220581,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
219,0.14912626147270203,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
220,0.14919476211071014,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
221,0.14926180243492126,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
222,0.14932739734649658,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
223,0.1493915617465973,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
224,0.1494542956352234,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
225,0.14951562881469727,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
226,0.14957556128501892,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
227,0.14963406324386597,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
228,0.14969122409820557,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
229,0.14974699914455414,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
230,0.14980140328407288,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
231,0.14985445141792297,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
232,0.149906188249588,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
233,0.1499565690755844,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
