epoch,train_loss,val_loss,lr,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_balanced_accuracy,val_tp,val_tn,val_fp,val_fn
1,0.5383686669087142,0.48616519570350647,0.0002999917754048268,0.890625,0.958904109589041,0.7368421052631579,0.9813664596273292,0.8333333333333334,0.8591042824452435,70,158,3,25
2,0.4022692719202363,0.40315378457307816,0.0002999671025212268,0.83984375,0.7755102040816326,0.8,0.8633540372670807,0.7875647668393783,0.8316770186335404,76,139,22,19
3,0.3160374877158176,0.4518022835254669,0.0002999259840548597,0.82421875,0.7659574468085106,0.7578947368421053,0.8633540372670807,0.761904761904762,0.810624387054593,72,139,22,23
4,0.2822554281588351,0.5552797168493271,0.00029986842451482874,0.8125,0.7281553398058253,0.7894736842105263,0.8260869565217391,0.7575757575757577,0.8077803203661327,75,133,28,20
5,0.23016613276486986,0.6008689627051353,0.000299794430213186,0.77734375,0.6727272727272727,0.7789473684210526,0.7763975155279503,0.7219512195121951,0.7776724419745015,74,125,36,21
6,0.21255388413922172,0.665851391851902,0.0002997040092642407,0.78515625,0.6724137931034483,0.8210526315789474,0.7639751552795031,0.7393364928909952,0.7925138934292253,78,123,38,17
7,0.19025882914494932,0.7738256305456161,0.0002995971715836687,0.78125,0.6585365853658537,0.8526315789473684,0.7391304347826086,0.7431192660550459,0.7958810068649885,81,119,42,14
8,0.19562186752812247,0.6603437252342701,0.00029947392888742566,0.8046875,0.7922077922077922,0.6421052631578947,0.9006211180124224,0.7093023255813953,0.7713631905851586,61,145,16,34
9,0.17414956852961122,0.5826503112912178,0.000299334294690462,0.83984375,0.7596153846153846,0.8315789473684211,0.84472049689441,0.7939698492462313,0.8381497221314156,79,136,25,16
10,0.16608849050623647,0.5361759886145592,0.00029917828430524096,0.83984375,0.75,0.8526315789473684,0.8322981366459627,0.7980295566502463,0.8424648577966656,81,134,27,14
11,0.16962243191311868,0.5206405930221081,0.0002990059148400594,0.87890625,0.82,0.8631578947368421,0.8881987577639752,0.8410256410256411,0.8756783262504086,82,143,18,13
12,0.15886689990424038,0.66213458776474,0.0002988172051971717,0.8359375,0.8271604938271605,0.7052631578947368,0.9130434782608695,0.7613636363636362,0.8091533180778032,67,147,14,28
13,0.15273208390460924,0.5697434842586517,0.0002986121760707165,0.84765625,0.7745098039215687,0.8315789473684211,0.8571428571428571,0.8020304568527918,0.8443609022556391,79,138,23,16
14,0.15645046696234285,0.619649350643158,0.0002983908499444482,0.828125,0.8227848101265823,0.6842105263157895,0.9130434782608695,0.7471264367816093,0.7986270022883295,65,147,14,30
15,0.14953759151898074,0.5965954586863518,0.00029815325108927063,0.8203125,0.7207207207207207,0.8421052631578947,0.8074534161490683,0.7766990291262136,0.8247793396534815,80,130,31,15
16,0.15084373227665934,0.64260084182024,0.0002978994055605757,0.83984375,0.7872340425531915,0.7789473684210526,0.8757763975155279,0.783068783068783,0.8273618829682903,74,141,20,21
17,0.1490127000246155,0.5745972618460655,0.0002976293411953862,0.84765625,0.8333333333333334,0.7368421052631579,0.9130434782608695,0.782122905027933,0.8249427917620137,70,147,14,25
18,0.1587795389502236,0.654277853667736,0.00029734308760930326,0.8046875,0.7419354838709677,0.7263157894736842,0.8509316770186336,0.7340425531914895,0.788623733246159,69,137,24,26
19,0.1560344416104006,0.5892791077494621,0.0002970406761932582,0.85546875,0.7543859649122807,0.9052631578947369,0.8260869565217391,0.8229665071770335,0.865675057208238,86,133,28,9
20,0.1492356873630138,0.5792122893035412,0.00029672214011007076,0.84375,0.7669902912621359,0.8315789473684211,0.8509316770186336,0.797979797979798,0.8412553121935273,79,137,24,16
21,0.15577433223135015,0.5877889022231102,0.000296387514290812,0.82421875,0.7659574468085106,0.7578947368421053,0.8633540372670807,0.761904761904762,0.810624387054593,72,139,22,23
22,0.15473759234621284,0.5527117513120174,0.0002960368354309739,0.87109375,0.81,0.8526315789473684,0.8819875776397516,0.8307692307692308,0.86730957829356,81,142,19,14
23,0.15385850996113895,0.6842797324061394,0.00029567014198644527,0.79296875,0.828125,0.5578947368421052,0.9316770186335404,0.6666666666666666,0.7447858777378228,53,150,11,42
24,0.15301514488927434,0.5412644371390343,0.0002952874741692945,0.82421875,0.7358490566037735,0.8210526315789474,0.8260869565217391,0.7761194029850746,0.8235697940503433,78,133,28,17
25,0.15206401401691222,0.6183317117393017,0.0002948888739433601,0.8359375,0.7226890756302521,0.9052631578947369,0.7950310559006211,0.8037383177570093,0.8501471068976789,86,128,33,9
26,0.1510452996144134,0.5903046205639839,0.00029447438501964857,0.84375,0.7669902912621359,0.8315789473684211,0.8509316770186336,0.797979797979798,0.8412553121935273,79,137,24,16
27,0.15076144096556673,0.5747141242027283,0.0002940440528515413,0.84375,0.7894736842105263,0.7894736842105263,0.8757763975155279,0.7894736842105263,0.8326250408630271,75,141,20,20
28,0.1558935853537549,0.5833900831639767,0.00029359792462980993,0.8359375,0.8192771084337349,0.7157894736842105,0.906832298136646,0.7640449438202247,0.8113108859104283,68,146,15,27
29,0.14736233146003122,0.5688474550843239,0.0002931360492774414,0.85546875,0.79,0.8315789473684211,0.8695652173913043,0.8102564102564104,0.8505720823798627,79,140,21,16
30,0.14934636719441147,0.5764202065765858,0.0002926584774442729,0.8359375,0.8192771084337349,0.7157894736842105,0.906832298136646,0.7640449438202247,0.8113108859104283,68,146,15,27
31,0.14406478642747644,0.5074332877993584,0.00029216526150143774,0.875,0.8181818181818182,0.8526315789473684,0.8881987577639752,0.8350515463917525,0.8704151683556718,81,143,18,14
32,0.14509618148375092,0.5258185043931007,0.00029165645553562203,0.8515625,0.8607594936708861,0.7157894736842105,0.9316770186335404,0.7816091954022988,0.8237332461588754,68,150,11,27
33,0.14946740447135454,0.5501067042350769,0.0002911321153431337,0.875,0.8058252427184466,0.8736842105263158,0.8757763975155279,0.8383838383838383,0.8747303040209219,83,141,20,12
34,0.1438847641261776,0.5510244704782963,0.00029059229842378357,0.8515625,0.8518518518518519,0.7263157894736842,0.9254658385093167,0.7840909090909091,0.8258908139915004,69,149,12,26
35,0.14575248574942684,0.5022568181157112,0.00029003706397458007,0.87890625,0.8478260869565217,0.8210526315789474,0.9130434782608695,0.8342245989304813,0.8670480549199084,78,147,14,17
36,0.1457902940136663,0.5831442922353745,0.00028946647288323756,0.8359375,0.8441558441558441,0.6842105263157895,0.9254658385093167,0.7558139534883721,0.8048381824125531,65,149,12,30
