epoch,train_loss,val_loss,lr,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_balanced_accuracy,val_tp,val_tn,val_fp,val_fn
1,0.618937576223859,0.5842769523830565,0.0002999917754048268,0.8275862068965517,0.8255813953488372,0.5867768595041323,0.94140625,0.6859903381642513,0.7640915547520661,71,241,15,50
2,0.4957689988644417,0.48960738346494476,0.0002999671025212268,0.8461538461538461,0.8987341772151899,0.5867768595041323,0.96875,0.7100000000000001,0.7777634297520661,71,248,8,50
3,0.4520687201204575,0.43326637757551767,0.0002999259840548597,0.8938992042440318,0.945054945054945,0.7107438016528925,0.98046875,0.8113207547169811,0.8456062758264462,86,251,5,35
4,0.3232067264127606,0.44219486245426004,0.00029986842451482874,0.8673740053050398,0.8034188034188035,0.7768595041322314,0.91015625,0.7899159663865546,0.8435078770661157,94,233,23,27
5,0.26411951573814935,0.6092550280239601,0.000299794430213186,0.7824933687002652,0.6535433070866141,0.6859504132231405,0.828125,0.6693548387096775,0.7570377066115703,83,212,44,38
6,0.2375142567270384,0.45879611855160335,0.0002997040092642407,0.8381962864721485,0.7380952380952381,0.768595041322314,0.87109375,0.7530364372469636,0.819844395661157,93,223,33,28
7,0.23656137831254895,0.5527099914038529,0.0002995971715836687,0.8116710875331565,0.7314814814814815,0.6528925619834711,0.88671875,0.6899563318777292,0.7698056559917356,79,227,29,42
8,0.23062670183932688,0.7711780564538364,0.00029947392888742566,0.7877984084880637,0.7411764705882353,0.5206611570247934,0.9140625,0.6116504854368933,0.7173618285123967,63,234,22,58
9,0.19290301250660513,0.5040121516435153,0.000299334294690462,0.8169761273209549,0.6911764705882353,0.7768595041322314,0.8359375,0.7315175097276264,0.8063985020661157,94,214,42,27
10,0.1948098666633521,0.6117529306234668,0.00029917828430524096,0.8514588859416445,0.9012345679012346,0.6033057851239669,0.96875,0.7227722772277227,0.7860278925619835,73,248,8,48
11,0.18881560607845077,0.4472713829351673,0.0002990059148400594,0.8753315649867374,0.8245614035087719,0.7768595041322314,0.921875,0.7999999999999999,0.8493672520661157,94,236,20,27
12,0.18027562904232755,0.5837968024239932,0.0002988172051971717,0.8461538461538461,0.8987341772151899,0.5867768595041323,0.96875,0.7100000000000001,0.7777634297520661,71,248,8,50
13,0.1768837235574647,0.4663551186535023,0.0002986121760707165,0.8567639257294429,0.8018018018018018,0.7355371900826446,0.9140625,0.7672413793103449,0.8247998450413223,89,234,22,32
14,0.18205045613404022,0.38609646383267815,0.0002983908499444482,0.9124668435013262,0.8666666666666667,0.859504132231405,0.9375,0.8630705394190872,0.8985020661157025,104,240,16,17
15,0.18210127546874869,0.5307501664370378,0.00029815325108927063,0.8408488063660478,0.9295774647887324,0.5454545454545454,0.98046875,0.6875,0.7629616477272727,66,251,5,55
