route,samples,accuracy,balanced_accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,internal,threshold,false_positive_rate,roc_auc
YOLO-Pose + ByteTrack + ST-GCN++ + Qwen OR,415,0.689156626506024,0.6928857249209008,0.6446280991735537,0.7839195979899497,0.6018518518518519,0.7074829931972789,156,130,86,43,0.9004531958118456,,,
YOLO-Pose + ByteTrack + ST-GCN++,415,0.6168674698795181,0.6175088404987903,0.5943396226415094,0.6331658291457286,0.6018518518518519,0.6131386861313868,126,130,86,73,0.8941240818877949,,,
YOLO-Pose + ByteTrack + ST-GCN++ + V-JEPA feature,415,0.6168674698795181,0.6175088404987903,0.5943396226415094,0.6331658291457286,0.6018518518518519,0.6131386861313868,126,130,86,73,0.8877949679637442,0.5,0.39814814814814814,0.693071840684906
YOLO-Pose + ST-GCN++ + V-JEPA feature,415,0.6481927710843374,0.6477991810906384,0.6318407960199005,0.6381909547738693,0.6574074074074074,0.635,127,142,74,72,0.7937959056102516,0.5,0.3425925925925926,0.6697841057137539
YOLO-Pose + ST-GCN++ + Qwen OR,415,0.7204819277108434,0.7233738135120045,0.6781115879828327,0.7939698492462312,0.6527777777777778,0.7314814814814814,158,141,75,41,0.7816065010157838,,,
YOLO-Pose + ST-GCN++,415,0.6409638554216868,0.6400637446491718,0.6275510204081632,0.6180904522613065,0.6620370370370371,0.6227848101265823,123,143,73,76,0.7752773870917331,,,
